Year,week,NPS_WeekAvg
2015,27,54.6
2015,28,54.6
2015,29,54.6
2015,30,54.6
2015,31,56.1
2015,32,60.0
2015,33,60.0
2015,34,60.0
2015,35,60.0
2015,36,48.8
2015,37,46.9
2015,38,46.9
2015,39,46.9
2015,40,45.5
2015,41,44.4
2015,42,44.4
2015,43,44.4
2015,44,44.8
2015,45,47.0
2015,46,47.0
2015,47,47.0
2015,48,47.0
2015,49,46.0
2015,50,45.8
2015,51,45.8
2015,52,45.8
2015,53,45.8
2016,1,47.1
2016,2,47.1
2016,3,47.1
2016,4,47.1
2016,5,47.1
2016,6,50.3
2016,7,50.3
2016,8,50.3
2016,9,50.3
2016,10,49.2
2016,11,49.0
2016,12,49.0
2016,13,49.0
2016,14,50.2
2016,15,51.8
2016,16,51.8
2016,17,51.8
2016,18,51.2
2016,19,47.3
2016,20,47.3
2016,21,47.3
2016,22,47.3
2016,23,49.6
2016,24,50.5
2016,25,50.5
2016,26,50.5
2016,27,50.5
